id,area_um2,mean_intensity,total_intensity
1,1.3007499999999999,43.275590551181104,4652.1259842519685
2,26.63815,105.57074025405169,232413.9846692948
3,12.9712,242.28794449262793,259732.67649609715
4,1.8392,48.55191256830601,7379.890710382513
5,15.7058,126.09876543209876,163676.19753086418
6,1.4217499999999998,145.47058823529412,17092.79411764706
7,0.605,0.125,6.25
8,1.573,103.25333333333334,13422.933333333334
9,40.656,85.62255041181483,287691.7693836978
10,5.95925,195.4069981583794,96237.94659300185
11,3.41825,212.32051282051282,59980.54487179487
12,1.53065,19.636986301369863,2484.0787671232874
13,3.6178999999999997,183.22492401215806,54784.25227963526
14,4.961,148.68314606741575,60960.08988764045
15,1.7121499999999998,25.472392638036812,3604.343558282209
16,2.9282,169.44776119402985,41006.35820895522
17,3.12785,43.930313588850176,11355.98606271777
18,3.8175499999999998,48.913746630727765,15432.28706199461
19,0.8833,52.86363636363637,3859.045454545455
20,19.43865,122.08551068883611,196130.3729216152
